Downloaded from FDA Regulatory Status of Color Additives; http://hfpappexternal.fda.gov/scripts/fdcc/?set=ColorAdditives; Last updated 2/14/2025; downloaded 4/11/2025.

"See End Note descriptions at https://www.hfpappexternal.fda.gov/scripts/fdcc/index.cfm?set=ColorAdditives."

CAS Reg No or other ID code,Color,See also,EEC No,Status,Use,Former use,RESTRICTIONS,End Notes Detail,END NOTES,Other names,RegnumCA1,RegnumCA2,RegnumCA3,RegnumCA4,RegnumCA5,RegnumCA6,RegnumO1,RegnumO2,RegnumO3,RegnumO4,RegnumO5,RegnumO6,RegnumO7,RegnumO8,RegnumO9,RegnumO10,RegnumO11,RegnumO12,RegnumO13,Citation 1a,Date FR 1a inc estimates,Text2 Date Actual FR 1a,Action 1a,Citation 1b,Date FR 1b,Action 1b,Citation 1c,Date FR 1c,Action 1c,Citation 1d,Date FR 1d,Action 1d,Citation 1e,Date FR 1e,Action 1e,Limitations 1,Citation 2a,Date FR 2a,Action 2a,Citation 2b,Date FR 2b,Action 2b,Citation 2c,Date FR 2c,Action 2c,Citation 2d,Date FR 2d,Action 2d,Citation 2e,Date FR 2e,Action 2e,Limitations 2,Citation 3a,Date FR 3a,Action 3a,Citation 3b,Date FR 3b,Action 3b,Citation 3c,Date FR 3c,Action 3c,Citation 3d,Date FR 3d,Action 3d,Limitations 3,Citation 4a,Date FR 4a,Action 4a,Citation 4b,Date FR 4b,Action 4b,Citation 4c,Date FR 4c,Action 4c,Citation 4d,Date FR 4d,Action 4d,Citation 4e,Date FR 4e,Action 4e,Citation 4f,Date FR 4f,Action 4f,Limitations 4,Citation 5a,Date FR 5a,Action 5a,Citation 5b,Date FR 5b,Action 5b,Citation 5c,Date FR 5c,Action 5c,Citation 5d,Date FR 5d,Action 5d,Citation 5e,Date FR 5e,Action 5e,Citation 5f,Date FR 5f,Action 5f,Limitations 5,Citation 6a,Date FR 6a,Action 6a,Citation 6b,Date FR 6b,Action 6b,Citation 6c,Date FR 6c,Action 6c,Citation 6d,Date FR 6d,Action 6d,Citation 6e,Date FR 6e,Action 6e,Limitations 6,Citation 7a,Date FR 7a,Action 7a,Citation 7b,Date FR 7b,Action 7b,Citation 7c,Date FR 7c,Action 7c,Citation 7d,Date FR 7d,Action 7d,Limitations 7,Citation 8a,Date FR 8a,Action 8a,Citation 8b,Date FR 8b,Action 8b,Citation 8c,Date FR 8c,Action 8c,Citation 8d,Date FR 8d,Action 8d,Limitations 8,Citation 9a,Date FR 9a,Action 9a,Citation 9b,Date FR 9b,Action 9b,Citation 9c,Date FR 9c,Action 9C,Limitations 9,Citation 10a,Date FR 10a,Action 10a,Citation 10b,Date FR 10b,Action 10b,Citation 10c,Date FR 10c,Action 10c,Limitations 10,Citation 11a,Date FR 11a,Action 11a,Citation 11b,Date FR 11b,Action 11b,Citation 11c,Date FR 11c,Action 11c,Limitations 11,Citation 12a,Date FR 12a,Action 12a,Citation 12b,Date FR 12b,Action 12b,Action 12c,Date FR 12c,Citation 12c,Limitations 12,Citation 13a,Date FR 13a,Action 13a,Citation 13b,Date FR 13b,Action 13b,Citation 13c,Date FR 13c,Action 13c,Limitations 13
" 31544-98-6"," D&C Orange No. 16",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. Solvent Orange 18<br />&diams; 4',5'-dibromo-2',7'-diiodofluorescein<br />&diams; 4',5'-dibromo-3',6'-dihydroxy-2',7'-diiodospiro(isobenzofuran-1(3H),9'-(9H)xanthen)-3-one<br />&diams; dibromodiiodofluorescein<br />&diams; fluorescein, 4',5'-dibomo-2',7'-diiodo-<br />&diams; Solvent Orange 18<br />&diams; spiro(isobenzofuran-1(3H),9'-(9H)xanthen)-3-one, 4',5'-dibromo-3',6'-dihydroxy-2',7'-diiodo-",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation"," 31 FR 5490",04/07/1966," Cancellation of certification",,,,,,,,,," Provisional drugs and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 3468-63-1"," D&C Orange No. 17",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. Pigment Orange 5<br />&diams; 1-((2,4-dinitrophenyl)azo)-2-naphthalenol<br />&diams; 1-(2,4-dinitrophenylazo)-2-naphthol<br />&diams; 2-naphthalenol, 1-((2,4-dinitrophenyl)azo)-<br />&diams; C.I. 12075<br />&diams; Dinitroaniline Orange<br />&diams; Perfect Orange<br />&diams; Pigment Orange 5<br />&diams; Tangerine (color)",=T("81.10"),=T("81.30"),,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications"," 48 FR 13976",04/01/1983," Delisting",,,,,,,,,," Drugs and cosmetics. Delisted for ingested use."," 25 FR 9759",10/12/1960," Provisional Regulation"," 25 FR 9759",10/12/1960," Tolerances; limitations of certificates",,,,,,,,,," Provisional drugs and cosmetics; delisting for unrestricted use in drugs and cosmetics; temporary tolerances of 6% in lipstick; drug products and other preparations subject to ingestion not more than 1 ppm in combination with other color additives; limitations of certificates."," 44 FR 48964",08/21/1979," Final Rule; temporary tolerances; limitations of certificates",,,,,,,,,," Prior limited use cancelled. Temporary tolerance of 5% in lipsticks, 0.002% in dentifrice, 0.005% in mouthwashes and 0.2 mg per daily dose in other ingested drugs."," 50 FR 13017",04/02/1985," Final Rule; postponement of closing date"," 50 FR 20408",05/16/1985," Correction"," 51 FR 20786",06/06/1986," Final Rule; postponement of closing date",,,,,,,,,," Provisional external drugs and cosmetic use."," 51 FR 28331",08/07/1986," Final Rule"," 51 FR 35509",10/06/1986," Correction"," 51 FR 35509",10/06/1986," Final Rule; response to objections, removal of stay",,,,,,,,,," Listed for use in external drugs and cosmetics use, GMP."," 53 FR 26768",07/15/1988," Final Rule; delisting; cancellation of certificates; removal of provisional regulations"," 53 FR 26884",07/15/1988," Notice; denial of petition"," 53 FR 29655",08/08/1988," Final Rule; clarification",,,,,,," Revocation of regulations for use in external drugs and cosmetics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1936-15-8"," D&C Orange No. 3",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. ACID ORANGE 10<br />&diams; 1,3-NAPHTHALENEDISULFONIC ACID, 7-HYDROXY-8-(PHENYLAZO)-, DISODIUM SALT<br />&diams; ACID ORANGE 10<br />&diams; C.I. ACID ORANGE 10, DISODIUM SALT<br />&diams; DISODIUM 7-HYDROXY-8-(PHENYLAZO)-1,3-NAPHTHALENEDISULFONATE<br />&diams; FAST LIGHT ORANGE G<br />&diams; NAPHTHALENE FAST ORANGE 2G<br />&diams; ORANGE G",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1930)",05/09/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional drug and cosmetic use. Temporary tolerance of 6% in lipsticks, 0.75mg/day dosage in ingested drugs and other ingested preparations. External drug and cosmetic use limited."," 25 FR 10600",11/05/1960," Delisted for unrestricted use; temporary tolerances",,,,,,,,,," Provisional use in drug products subject to ingestion as mouth washes and dentifrices, not more than 0.75 mg/day."," 31 FR 5490",04/07/1966," Cancellation of certificates.",,,,,,,,,,,,,,,," Cancellation of certificates. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 633-96-5"," D&C Orange No. 4",,," Permanently listed, certification required"," Drugs, Cosmetics",," Externally applied drugs. Cosmetics generally.",," 5, 6"," &diams; Acid Orange 7<br />&diams; Acid Orange II<br />&diams; benzenesulfonic acid, 4-((2-hydroxy-1-naphthalenyl)azo)-, monosodium salt<br />&diams; C.I. 15510<br />&diams; C.I. Acid Orange 7<br />&diams; C.I. Acid Orange, monosodium salt<br />&diams; monosodium 4-((2-hydroxy-1-naphthalenyl)azo)benzenesulfonate<br />&diams; Orange II<br />&diams; Orange No. 2",=T("74.1254"),=T("74.2254"),=T("81.30"),=T("82.1254"),,,,,,,,,,,,,,,," 4 FR 1922 (at page 1930)",05/09/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation"," 25 FR 10600",11/05/1960," Cancellation of certification",,,,,,,,,," Provisional drugs and cosmetic use. Temporary tolerance of 6% in lipsticks. 0.075 mg/day dosage in ingested drugs and in other preparations subject to ingestion. External drug and cosmetic use limited."," 42 FR 52395",09/30/1977," Final Rule"," 43 FR 14641",04/07/1978," Final Rule; confirmation of effective date"," 42 FR 52395",09/30/1977," Delisting"," 33 FR 5987",04/19/1968," Cancellation of certification"," Unlimited use cancelled. External drugs and cosmetic revision of specifications."," 44 FR 50360",08/28/1979," Proposed Rule",,,,,,,,,,,,,,,," Revision of specifications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 596-03-2"," D&C Orange No. 5",,," Permanently listed, certification required"," Drugs, Cosmetics",," Externally applied drugs (NTE 5 mg/daily dose of drug). Externally applied cosmetics.  Mouthwashes, dentrifices, lipsticks, and other lip cosmetics NTE 5%.",,=T("6")," &diams; 4',5'-DIBROMO-3',6'-DIHYDROXYSPIRO(ISOBENZOFURAN-1(3H),9'-(9H)XANTHEN)-3-ONE<br />&diams; 4',5'-DIBROMOFLUORESCEIN<br />&diams; C.I. 45370:1<br />&diams; C.I. SOLVENT RED 72<br />&diams; FLUORESCEIN, 4',5'-DIBROMO-<br />&diams; SOLVENT RED 72<br />&diams; SPIRO(ISOBENZOFURAN-1(3H),9'-(9H)XANTHEN)-3-ONE, 4',5'-DIBROMO-3',6'-DIHYDROXY-",=T("74.1255"),=T("74.2255"),=T("82.1255"),,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1928)",05/09/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation"," 25 FR 9759",10/12/1960," Delisting for unrestricted use; temporary tolerances; limitations of certificates",,,,,,,,,," Provisional drugs and cosmetics. Temporary tolerance of 6% in lipsticks. 0.75 mg/day dosage in ingested drugs and in other preparations subject to ingestion. External drug and cosmetic use limited."," 44 FR 48964",08/21/1979," Temporary Tolerance"," 45 FR 22904",04/04/1980," Final Rule; confirmation of effective date",,,,,,," Prior limited use cancelled. Temporary tolerance of 6% in lipsticks. GMP in external drugs and cosmetics, mouthwashes and dentifrices."," 38 FR 21199",08/06/1973," Notice of Filing"," 47 FR 49632",11/02/1982," Final Rule; ingested drugs; cosmetic lip products"," 47 FR 52694",11/23/1982," Final Rule; correction"," 49 FR 13339",04/07/1984," Final Rule; external drug use, external cosmetic use generally."," 49 FR 31852",08/09/1984," Final Rule; confirmation of effective date",,,," Coloring mouthwashes and dentifrices that are ingested. 5% in lipsticks. Externally applied drugs in amounts not exceeding 5mg/day dosage.  Externally applied cosmetics GMP."," 49 FR 31852",08/09/1984," Delisting; cancellation of certificate",,,,,,,,,,,,,,,," Termination of provisional listing and tolerances; cancellation of certificates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 4372-02-5"," D&C Orange No. 6",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. ACID ORANGE 11<br />&diams; C.I. 45370<br />&diams; DISODIUM 4',5'-DIBROMO-3',6'-DIHYDROXYSPIRO(ISOBENZOFURAN-1(3H),9'-(9H)XANTHEN)-3-ONE<br />&diams; DISODIUM 4',5'-DIBROMOFLUORESCEIN<br />&diams; FLUORESCEIN, 4',5'-DIBROMO-, DISODIUM SALT<br />&diams; SPIRO(ISOBENZOFURAN-1(3H),9'-(9H)XANTHEN)-3-ONE, 4',5'-DIBROMO-3',6'-DIHYDROXY-, DISODIUM SALT",,,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1928)",05/09/1939,," Specifications"," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,," Drugs and cosmetic use. No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 6493-54-5"," D&C Orange No. 7",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; DIPOTASSIUM 4',5'-DIBROMOFLUORESCEIN<br />&diams; DIPOTASSIUM 4',5'-DIBROMO-3',6'-DIHYDROXYSPIRO(ISOBENZOFURAN-1(3H),9'-(9H)XANTHEN)-3-ONE<br />&diams; FLUORESCEIN, 4',5'-DIBROMO-, DIPOTASSIUM SALT<br />&diams; POTASSIUM 4',5'-DIBROMOFLUORESCEIN<br />&diams; SPIRO(ISOBENZOFURAN-1(3H),9'-(9H)XANTHEN)-3-ONE, 4',5'-DIBROMO-3',6'-DIHYDROXY-, DIPOTASSIUM SALT",,,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1928)",05/09/1939,," Specifications"," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,," Drugs and cosmetic use. No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 3474-67-7"," D&C Orange No. 8",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. SOLVENT ORANGE 32<br />&diams; C.I. 45365<br />&diams; DISODIUM 4',5'-DICHLORO-3',6'-DIHYDROXYSPIRO(ISOBENZOFURAN-1(3H),9'-(9H)XANTHEN)-3-ONE<br />&diams; DISODIUM 4',5'-DICHLOROFLUORESCEIN<br />&diams; FLUORESCEIN, 4',5'-DICHLORO-, DISODIUM SALT<br />&diams; FLUORESCEIN, 4',5'-DICHLORO-, SODIUM DERIV., SODIUM SALT<br />&diams; SOLVENT ORANGE 32<br />&diams; SPIRO(ISOBENZOFURAN-1(3H),9'-(9H)XANTHEN)-3-ONE, 4',5'-DICHLORO-3',6'-DIHYDROXY-, DISODIUM SALT",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 3931",09/16/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional drugs and cosmetic use."," 28 FR 317",01/11/1963," Temporary Tolerance"," 31 FR 5490",04/07/1966," Cancellation of certification",,,,,,," Provisional drugs and cosmetic use. No interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 977140-43-4"," D&C Orange No. 9",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",,,,,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1929)",05/09/1939,," Specifications"," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,," Drugs and cosmetic use. No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1248-18-6"," D&C Red No. 10",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. PIGMENT RED 49<br />&diams; 1-NAPHTHALENESULFONIC ACID, 2-((2-HYDROXY-1-NAPHTHALENYL)AZO)-, MONOSODIUM SALT<br />&diams; C.I. 15630<br />&diams; C.I. PIGMENT RED 49, MONOSODIUM SALT<br />&diams; LITHOL RED<br />&diams; MONOSODIUM 2-(2-HYDROXY-1-NAPHTHYLAZO)-1-NAPHTHALENESULFONATE<br />&diams; PIGMENT RED 49",=T("81.10"),=T("81.30"),,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1927)",05/09/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation"," 25 FR 9759",10/12/1960," Delisting for unrestricted use; temporary tolerances; limitations of certificates",,,,,,,,,," Provisional drugs and cosmetic use. Temporary tolerance of 6% in lipsticks. External drugs and cosmetic use unlimited."," 42 FR 62475",12/13/1977," Delisting; cancellation of certificates",,,,,,,,,," Termination of provisional listing, cancellation of certificates. Petition withdrawn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1103-39-5"," D&C Red No. 11",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. PIGMENT RED 49:2<br />&diams; 1-NAPHTHALENESULFONIC ACID, 2-((2-HYDROXY-1-NAPHTHALENYL)AZO)-, CALCIUM SALT (2:1)<br />&diams; C.I. 15630:2<br />&diams; C.I. PIGMENT RED 49, CALCIUM SALT (2:1)<br />&diams; CALCIUM 2-(2-HYDROXY-1-NAPHTHYLAZO)-1-NAPHTHALENESULFONATE<br />&diams; PIGMENT RED 49:2",=T("81.10"),=T("81.30"),,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1927)",05/09/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation"," 25 FR 9759",10/12/1960," Delisting for unrestricted use; temporary tolerances; limitations of certificates",,,,,,,,,," Provisional drugs and cosmetic use. Temporary tolerance of 6% in lipsticks. External drugs and cosmetic use unlimited."," 42 FR 62475",12/13/1977," Delisting; cancellation of certificates",,,,,,,,,," Termination of provisional listing, cancellation of certificates. Petition withdrawn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1103-38-4"," D&C Red No. 12",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. PIGMENT RED 49:1<br />&diams; 1-NAPHTHALENESULFONIC ACID, 2-((2-HYDROXY-1-NAPHTHALENYL)AZO)-, BARIUM SALT (2:1)<br />&diams; BARIUM 2-(2-HYDROXY-1-NAPHTHYLAZO)-1-NAPHTHALENESULFONATE<br />&diams; C.I. 15630:1<br />&diams; C.I. PIGMENT RED 49, BARIUM SALT (2:1)<br />&diams; PIGMENT RED 49:1",=T("81.10"),=T("81.30"),,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1927)",05/09/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation"," 25 FR 9759",10/12/1960," Termination of unrestricted use.",,,,,,,,,," Provisional drugs and cosmetic use. Temporary tolerance of 6% in lipsticks. External drugs and cosmetic use unlimited."," 42 FR 62475",12/13/1977," Final Rule; delisting; cancellation of certificates",,,,,,,,,," Termination of provisional listing, cancellation of certificates. Petition withdrawn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 6371-67-1"," D&C Red No. 13",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. PIGMENT RED 49:3<br />&diams; 1-NAPHTHALENESULFONIC ACID, 2-((2-HYDROXY-1-NAPHTHALENYL)AZO)-, STRONTIUM SALT (2:1)<br />&diams; C.I. 15630:3<br />&diams; C.I. PIGMENT RED 49, STRONTIUM SALT (2:1)<br />&diams; PIGMENT RED 49:3<br />&diams; STRONTIUM 2-(2-HYDROXY-1-NAPHTHYLAZO)-1-NAPHTHALENESULFONATE",=T("81.10"),=T("81.30"),,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1928)",05/09/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation"," 25 FR 9759",10/12/1960," Delisting for unrestricted use; temporary tolerances; limitations of certificates",,,,,,,,,," Provisional drugs and cosmetic use. Temporary tolerance of 6% in lipsticks. External drugs and cosmetic use unlimited."," 42 FR 62475",12/13/1977," Delisting; cancellation of certificates",,,,,,,,,," Termination of provisional listing, cancellation of certificates. Petition withdrawn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 5850-76-0"," D&C Red No. 14",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. PIGMENT RED 50<br />&diams; BENZOIC ACID, 2-((2-HYDROXY-1-NAPHTHALENYL)AZO)-, MONOSODIUM SALT<br />&diams; C.I. 15500<br />&diams; C.I. PIGMENT RED 50, MONOSODIUM SALT<br />&diams; MONOSODIUM 2-((2-HYDROXY-1-NAPHTHALENYL)AZO)BENZOATE<br />&diams; PIGMENT RED 50",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1928)",05/09/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional drug and cosmetic use."," 31 FR 5490",04/07/1966," Cancellation of certification",,,,,,,,,," Cancellation of certificates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 6372-81-2"," D&C Red No. 15",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. PIGMENT RED 50, BARIUM SALT<br />&diams; C.I. 15500:1",,,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1928)",05/09/1939,," Specifications"," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,," Drugs and cosmetic use. No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 6373-04-2"," D&C Red No. 16",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. PIGMENT RED 50, CALCIUM SALT<br />&diams; C.I. 15500:2",,,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1928)",05/09/1939,," Specifications"," Public Law 86-618",07/12/1960," Delisting",,,,,,,,,," Drugs and cosmetic use. No batch ever certified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 85-86-9"," D&C Red No. 17",,," Permanently listed, certification required"," Drugs, Cosmetics, Devices",," Externally applied drugs. Externally applied cosmetics. Contact lenses.",," 3, 6"," &diams; 1-((4-(phenylazo)phenyl)azo)-2-naphthalenol<br />&diams; 1-(p-phenylazophenylazo)-2-naphthol<br />&diams; 2-naphthalenol, 1-((4-(phenylazo)pheny)azo)-<br />&diams; C.I. 26100<br />&diams; C.I. Solvent Red 23<br />&diams; Solvent Red 23<br />&diams; Sudan III",=T("74.1317"),=T("74.2317"),=T("74.3230"),=T("81.30"),=T("82.1317"),,,,,,,,,,,,,,," 4 FR 1922 (at page 1928)",05/09/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation"," 33 FR 5987",04/19/1968," Cancellation of certification",,,,,,,,,," Provisional drugs and cosmetic use. Limited to external use only."," 41 FR 51005",11/19/1976," Final Rule"," 42 FR 27225",05/27/1977," Final Rule; confirmation of effective date",,,,,,," External drugs and cosmetic use."," 48 FR 4051",01/28/1983," Notice of Filing"," 55 FR 22895",06/05/1990," Final Rule"," 55 FR 37868",09/14/1990," Final Rule; confirmation of effective date",,,,,,,,,," For contact lenses use not to exceed reasonable amount to achieve desiRed effect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 1320-06-5"," D&C Red No. 18",,," Delisted, formerly subject to certification"," None"," formerly Drugs, Cosmetics",," none",," &diams; C.I. SOLVENT RED 27<br />&diams; 1-((4-((dimethylphenyl)azo)dimethylphenyl)azo)-2-naphthalenol<br />&diams; 2-naphthalenol, 1-((4-((dimethylphenyl)azo)dimethylphenyl)azo)-<br />&diams; C.I. 26125<br />&diams; OIL RED O<br />&diams; SOLVENT RED 27",=T("81.30"),,,,,,,,,,,,,,,,,,," 4 FR 1922 (at page 1928)",05/09/1939,," Specifications",,,,,,,,,,,,," Drugs and cosmetic use."," 25 FR 9759",10/12/1960," Provisional Regulation",,,,,,,,,,,,," Provisional drugs and cosmetic use."," 31 FR 5490",04/07/1966," Cancellation of certification",,,,,,,,,," Cancellation of certificates.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
